서울역,1433,28,21470,11135,27481,77332,72986,179309,137378,418160,107864,256567,115806,145270,148258,138329,160010,148936,161867,151513,136537,146831,183593,150872,191127,160943,259650,173834,410931,186005,226730,141824,159515,99785,147693,85250,108541,68660,54405,39459,5171,14892,4,887,0,0,0,0
시청,161,0,3606,5857,5738,34900,13525,133153,18851,463679,24831,183981,34121,81368,47993,75955,52073,69418,66943,80175,77975,71126,94824,62115,100493,53201,161497,52291,371140,54186,153524,30936,109449,17776,107693,16281,70804,13766,28303,9118,2928,2789,3,118,0,0,0,0
종각,100,8,4409,5105,4593,26969,6733,104259,11028,300081,14563,167611,20165,80474,34617,76633,42088,71920,59893,75678,68149,62408,84211,57607,96197,55889,144446,63459,257735,83206,134259,51603,113555,19039,135586,12188,111743,8286,54264,5560,4886,1722,0,0,0,0,0,0
종로3가,153,5,7789,3796,7614,24151,11664,56059,18439,188179,25722,200745,41218,163949,68140,174167,93088,184913,121417,190320,136024,167539,163379,142952,182532,124525,198198,116866,263674,129757,196702,78335,136968,31329,150496,23029,123632,18093,52315,12333,6599,4942,0,79,0,0,0,0
종로5가,43,2,1934,3590,2935,14991,5143,40376,8509,132808,12652,78635,20434,62671,31918,69919,45533,72651,60255,69005,69651,63201,74447,54752,77646,48878,93779,42973,133826,40675,72550,24744,49690,10816,40800,7410,32727,5112,12013,3450,785,980,1,3,0,0,0,0
동대문,1188,16,26057,5088,14899,19902,20555,51113,32798,117421,37308,110088,41158,97299,51281,98428,65944,93841,77096,96683,92391,88175,103192,79336,110728,65674,139548,58429,131570,54211,72732,62031,51655,43602,45969,31679,41730,25720,23131,22111,2883,6977,5,44,0,1,0,0
신설동,320,19,10443,3537,11901,12431,24528,34761,38626,109029,27739,64006,25856,40432,32075,37237,36546,36919,40808,38625,42530,36282,46893,34395,49983,32462,64822,37898,106130,40026,44568,32572,27758,21285,25007,20081,18496,19710,7724,13769,960,4092,1,209,0,0,0,0
제기동,316,8,4874,2284,8388,8242,22615,18537,34862,50424,24786,43146,27130,46347,38424,63325,49342,71837,58332,79114,66681,70456,75677,58388,72189,40292,58939,32726,54182,29402,27310,24217,18230,14579,12731,12853,9087,12449,3758,8308,258,1890,0,0,0,0,0,0
청량리(서울시립대입구),2323,20,17192,4073,24476,22695,72550,34310,100035,65499,71067,74517,66878,70534,69872,94787,86288,102460,90986,111022,101318,109847,113320,104955,115356,95805,108981,97196,93890,120763,64478,100706,62057,57280,38539,50482,28980,48044,11908,30004,771,10815,0,1,0,0,0,0
동묘앞,136,3,7677,1516,8329,7742,14937,18783,23775,49105,21116,40899,21121,36693,27830,46628,39359,54635,46880,60792,58387,61646,67111,53083,67891,40318,66395,32299,57560,29741,27926,23809,17533,16002,14595,15502,11237,16015,5266,15001,789,5696,3,304,1,0,0,0
을지로입구,60,0,3044,3128,3503,25964,8459,127983,15748,370776,20905,168061,28590,92607,41038,100103,47523,78430,63060,77579,74180,70126,89228,69194,101038,67385,142185,69532,318327,78752,163235,48268,149467,25407,128491,20392,91465,17712,41279,10668,5000,3520,14,985,0,0,0,0
을지로3가,74,8,2074,2901,3831,25272,8159,100175,14558,263921,19997,133075,27092,63638,34052,53245,35869,45699,43984,51447,49750,46000,58027,42227,64783,41948,104996,43014,226340,51744,109634,31999,70364,15478,70995,12519,54447,11330,27596,7959,5103,2279,9,103,0,0,0,0
을지로4가,9,0,1190,1033,2236,19657,4636,35005,7743,107298,11527,64583,16003,41360,20777,39152,25172,37872,29958,36700,36147,35137,41561,31000,45838,25866,65135,22581,100482,19857,56663,12355,27846,6721,21093,6143,15144,5822,6776,4217,1253,1291,1,60,0,0,0,0
동대문역사문화공원,790,9,22846,2845,12746,23224,16350,58035,28550,189186,31472,101496,33982,75997,41100,70483,49809,71762,57202,83157,70306,78166,86524,69603,97131,64344,130777,67994,193850,78979,119459,97931,85448,61097,80087,44369,73627,35657,45200,23777,7124,7934,3,143,0,0,0,0
신당,82,2,15897,2588,18732,14515,35562,29652,60640,81026,40723,55186,30211,37470,31776,35218,38733,34851,38722,39670,39892,39602,43028,36962,48568,38975,58570,48575,72357,66995,45274,63977,33315,36615,31346,30051,24635,29283,18575,27015,2448,7352,7,53,0,0,0,0
상왕십리,28,3,5806,716,12635,5440,38199,11057,68229,40639,36040,22797,22613,15402,22049,14038,22803,15334,23014,17811,20417,18793,20673,20039,22175,23096,27045,30640,35225,50447,21943,40161,14245,25369,13600,24134,9705,24951,3907,16452,615,5928,2,54,1,0,0,0
왕십리(성동구청),1347,10,15112,2448,22999,13598,64203,27513,118222,75847,71123,53928,45239,42502,47140,48827,55397,56109,61162,62117,61327,62368,66852,66039,72655,75178,88158,98080,103578,166219,70588,130465,66182,71590,77340,59590,75223,58378,41293,36183,6024,15536,2,443,0,0,0,0
한양대,11,1,1295,346,2424,5635,6313,10512,10105,37533,7567,45390,6721,21452,9945,15158,12474,19319,13528,19497,14428,14448,16621,12315,23176,11629,34986,11417,31230,14267,15814,9762,12422,6592,12627,5883,10212,6006,6014,4054,1251,1491,1,24,0,0,0,0
뚝섬,18,0,4142,1797,9130,13242,23263,27099,35147,133396,22016,65516,16907,26965,18425,20990,19838,20586,22968,23182,24109,22146,25943,22818,29558,23585,42648,28796,109907,40235,51606,31500,27860,17980,25547,16495,18465,17113,7922,11005,1329,4310,3,113,1,1,0,0
성수,66,12,5882,4037,10844,25840,25458,66913,36540,280949,27967,104461,24125,42243,25668,33427,28945,32437,33641,35840,37750,35487,40947,36103,46970,36186,83326,42219,208470,51592,92811,39195,49394,22509,46710,20031,34230,18093,15355,12227,2379,7639,8,1143,0,0,0,0
건대입구,339,11,24749,3126,30707,23537,73096,45192,136908,103757,91255,89285,57995,73183,58662,81414,69325,100408,79329,112068,83369,112161,93431,116932,108302,127907,134463,166026,155105,261573,119594,207428,123478,109398,137261,94440,144370,83174,86188,51781,15194,20354,5,1666,0,0,0,0
구의(광진구청),62,4,13416,1341,25792,10991,70814,15815,130380,44549,74902,27832,39077,22363,33621,22904,35166,25148,36565,28805,33320,31070,31829,37483,34321,42848,40288,55287,50891,93956,28104,78902,21545,50684,20481,50758,17260,49446,10919,28978,1951,10126,9,153,0,0,0,0
강변(동서울터미널),18,0,9803,3838,29345,28033,99368,33030,148781,58847,112708,58071,90078,52739,87151,52926,83887,61189,82513,70581,74437,76623,74548,88963,78371,96447,83042,107865,91479,154340,73591,125838,55572,84817,52012,75477,34621,70347,13819,38563,2122,9968,4,243,1,0,0,0
잠실나루,6,2,3069,1839,12422,10501,45639,22499,62872,43182,36720,32397,28139,24738,29567,21637,29321,25633,27794,26294,29534,25430,30651,24766,33421,24130,39788,29363,39125,48008,22554,41437,16931,24798,13327,24137,8146,24751,3659,14977,582,4831,1,96,1,1,0,0
잠실(송파구청),104,3,13995,7423,51171,46833,139249,119207,208259,281759,150207,237536,105054,156505,108702,170561,122317,162890,141815,175686,154885,169974,177922,175670,206023,183680,263607,211063,366460,304611,253695,225418,229693,126845,194519,114957,163845,110453,52893,66644,6471,16924,12,515,1,0,0,0
잠실새내,18,0,5401,900,17709,8553,59461,17391,89078,31935,55152,36450,36176,28541,36722,30120,38576,32722,40799,38116,38031,42075,38450,43798,42318,50663,46898,65707,53611,104349,39466,86003,33428,49108,35506,42383,35716,40910,21541,22960,3985,8006,6,189,0,0,0,0
종합운동장,10,0,3400,1860,11461,9355,29382,20881,41426,36727,29334,27029,20382,19001,20277,18285,20718,17847,21989,20847,26052,27248,26963,24441,23975,24104,31984,28796,35922,48064,24523,40329,17035,22604,21808,21469,21134,20988,7339,13594,1068,4253,4,164,1,1,0,0
삼성(무역센터),216,1,5602,5719,8587,39100,17974,127493,26821,378832,27266,278283,27914,131650,42708,114866,55075,102170,76005,112552,92068,100302,117335,86738,136431,80251,203382,79991,348450,93026,220595,58650,159141,27026,141063,21377,99081,18278,29233,10688,4195,5281,5,1742,0,1,0,0
선릉,134,3,7405,7676,14570,46659,27190,149733,45876,475027,44587,336170,45827,143976,61273,99385,71065,91277,89488,108962,99030,90390,125062,78365,171195,73811,207714,84049,401939,102237,211856,72423,132208,38014,134512,32106,114567,28942,44513,17685,6865,7566,3,252,0,0,0,0
역삼,83,1,4327,8500,9750,38548,16391,135196,29868,397974,28302,300025,29196,124732,39830,80572,48945,66701,63625,78844,68394,68999,87403,60617,104295,56217,178448,62182,332167,77195,173560,57814,104376,28400,113316,22150,78322,19428,35363,12607,5898,4298,0,137,2,1,0,0
강남,330,8,17230,12987,26867,58425,48487,184588,80456,378961,68596,420878,70921,200209,97368,173073,126159,177366,170216,216039,169097,180809,203483,174765,227268,174630,291623,210420,431115,301515,292521,226472,235489,97022,295326,72936,314609,63765,145504,39894,27203,12993,36,348,0,0,0,0
